File,Data Source (Training),Data Source (Evaluation),Balancing,KNN,SN,SP,AUC,MCC,F1
predictions/evaluation-single/rdkit-only-pred_knn_rdkit-only_smotetomek.csv,,,,,0.835,0.926,0.957,0.768,0.851
predictions/evaluation-single/rdkit-only-pred_pubchem-else-rdkit_none.csv,,,,,0.825,0.924,0.949,0.756,0.843
predictions/evaluation-single/rdkit-only-pred_pubchem-else-rdkit_smote.csv,,,,,0.811,0.942,0.957,0.768,0.848
predictions/evaluation-single/rdkit-only-pred_pubchem-else-rdkit_smoteenn.csv,,,,,0.763,0.922,0.935,0.703,0.804
predictions/evaluation-single/rdkit-only-pred_pubchem-else-rdkit_smotetomek.csv,,,,,0.809,0.941,0.956,0.765,0.846
predictions/evaluation-single/rdkit-only-pred_pubchem-only_none.csv,,,,,0.844,0.918,0.956,0.765,0.85
predictions/evaluation-single/rdkit-only-pred_pubchem-only_smote.csv,,,,,0.832,0.934,0.957,0.776,0.855
predictions/evaluation-single/rdkit-only-pred_pubchem-only_smoteenn.csv,,,,,0.802,0.92,0.935,0.732,0.826
predictions/evaluation-single/rdkit-only-pred_pubchem-only_smotetomek.csv,,,,,0.809,0.935,0.957,0.758,0.842
predictions/evaluation-single/rdkit-only-pred_rdkit-only_none.csv,,,,,0.861,0.915,0.958,0.775,0.858
predictions/evaluation-single/rdkit-only-pred_rdkit-only_smote.csv,,,,,0.835,0.93,0.957,0.773,0.854
predictions/evaluation-single/rdkit-only-pred_rdkit-only_smoteenn.csv,,,,,0.804,0.919,0.937,0.732,0.827
predictions/evaluation-single/rdkit-only-pred_rdkit-only_smotetomek.csv,,,,,0.835,0.926,0.957,0.768,0.851
predictions/evaluation-single/rdkit-only_none.csv,,,,,0.861,0.915,0.958,0.775,0.858
predictions/evaluation-single/rdkit-only_smote.csv,,,,,0.835,0.93,0.957,0.773,0.854
predictions/evaluation-single/rdkit-only_smoteenn.csv,,,,,0.804,0.919,0.937,0.732,0.827
predictions/evaluation-single/rdkit-only_smotetomek.csv,,,,,0.835,0.926,0.957,0.768,0.851
