ID,SMILES,Total_count,BBB+_count,BBB-_count,Flexibility_RDKit,MW_RDKit,LogP_RDKit,HBA_RDKit,HBD_RDKit,TPSA_RDKit,Charge_RDKit,HeavyAtom_RDKit,AtomStereo_RDKit,AtomCount_C_RDKit,AtomCount_H_RDKit,AtomCount_O_RDKit,AtomCount_N_RDKit,AtomCount_S_RDKit,AtomCount_F_RDKit,AtomCount_Cl_RDKit,AtomCount_Br_RDKit,AtomCount_I_RDKit,AtomCount_P_RDKit,AtomCount_B_RDKit,AtomCount_Li_RDKit,BondCount_Single_RDKit,BondCount_Double_RDKit,BondCount_Triple_RDKit,BondCount_Aromatic_RDKit,Total_Chiral_Centers_RDKit,R_Isomers_RDKit,S_Isomers_RDKit,E_Isomers_RDKit,Z_Isomers_RDKit,Num_4_Rings_Aromatic_RDKit,Num_4_Rings_NonAromatic_RDKit,Num_4_Rings_Total_RDKit,Num_5_Rings_Aromatic_RDKit,Num_5_Rings_NonAromatic_RDKit,Num_5_Rings_Total_RDKit,Num_6_Rings_Aromatic_RDKit,Num_6_Rings_NonAromatic_RDKit,Num_6_Rings_Total_RDKit,Num_8_Rings_Aromatic_RDKit,Num_8_Rings_NonAromatic_RDKit,Num_8_Rings_Total_RDKit,Num_Aromatic_Rings_RDKit,Num_NonAromatic_Rings_RDKit,Num_Total_Rings_RDKit,WienerIndex_RDKit,EccentricConnectivityIndex_RDKit,BBB+_normalised,BBB-_normalised,ratio
RING0011,c1c[nH]cc[nH]1,2,1,1,0.0,82.106,0.12159999999999993,2.0,2.0,24.06,0.0,6.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0,102.0,0.00020177562550443906,0.00035075412136092597,0.63481491
RING0012,C1CNCN1,83,50,33,0.0,72.11099999999999,-0.8633000000000002,2.0,2.0,24.06,0.0,5.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,197.0,86.0,0.010088781275221953,0.011574886004910558,0.53429947
RING0013,c1ccoc1,150,66,84,0.0,68.07499999999999,1.2795999999999998,1.0,0.0,13.14,0.0,5.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80.0,58.0,0.013317191283292978,0.029463346194317782,0.68870912
RING0014,c1cc[nH]cc1,42,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002421307506053269,0.01052262364082778,0.81293878
RING0015,C1CCOCC1,329,31,298,0.0,86.134,1.1869,1.0,0.0,9.23,0.0,6.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,339.0,132.0,0.006255044390637611,0.10452472816555594,0.94353622
RING0016,C1COCOC1,15,14,1,0.0,88.106,0.3808,2.0,0.0,18.46,0.0,6.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,247.0,108.0,0.002824858757062147,0.00035075412136092597,0.11045242
RING0017,C1CCCO1,41,19,22,0.0,72.107,0.7968,1.0,0.0,9.23,0.0,5.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,195.0,86.0,0.0038337368845843423,0.007716590669940372,0.66808414
RING0018,c1cOCO1,82,56,26,0.0,72.063,0.4619,2.0,0.0,18.46,0.0,5.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,58.0,0.011299435028248588,0.009119607155384075,0.44662267
RING0019,c1cnc[nH]c1,59,31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006255044390637611,0.009821115398105928,0.61091178
RING0020,C1SCS1,8,0,8,0.0,92.188,1.3814,2.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,48.0,0.0,0.0028060329708874078,1.0
RING0021,C1=CNCSC1,343,9,334,0.0,101.17399999999999,0.794,2.0,1.0,12.03,0.0,6.0,0.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,210.0,107.0,0.0018159806295399517,0.11715187653454928,0.98473554
RING0022,C1=NCCN1,41,30,11,0.0,70.09499999999998,-0.38210000000000005,2.0,1.0,24.39,0.0,5.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130.0,72.0,0.006053268765133172,0.003858295334970186,0.3892721
RING0023,C1CCNCN1,97,96,1,0.0,86.138,-0.4732,2.0,2.0,24.06,0.0,6.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,341.0,138.0,0.01937046004842615,0.00035075412136092597,0.01778563
RING0024,C1cc-ncCN1,18,12,6,0.0,96.133,0.17409999999999998,2.0,1.0,24.39,0.0,7.0,0.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,128.0,0.002421307506053269,0.002104524728165556,0.46500281
RING0025,c1ncon1,25,12,13,0.0,70.051,0.06959999999999994,3.0,0.0,38.92,0.0,5.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,41.0,42.0,0.002421307506053269,0.004559803577692038,0.65316302
RING0026,c1cncn1,224,135,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027239709443099273,0.031217116801122415,0.53402004
RING0027,c1cscn1,262,52,210,0.0,85.131,1.1430999999999998,2.0,0.0,12.89,0.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,51.0,0.010492332526230832,0.07365836548579446,0.87531497
RING0028,C1CCNCC1,732,622,110,0.0,85.15,0.7599,1.0,1.0,12.03,0.0,6.0,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,392.0,147.0,0.1255044390637611,0.03858295334970186,0.23513661
RING0029,c1ccsc1,134,73,61,0.0,84.14299999999999,1.7480999999999998,1.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80.0,58.0,0.014729620661824051,0.021396001403016486,0.59226666
RING0030,C1CSCN1,82,9,73,0.0,89.163,0.28030000000000005,2.0,1.0,12.03,0.0,5.0,0.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,162.0,79.0,0.0018159806295399517,0.025605050859347597,0.93377417
RING0031,C1ccCCC1,34,26,8,0.0,82.146,2.1166,0.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,340.0,138.0,0.005246166263115416,0.0028060329708874078,0.34848032
RING0032,C1CCOC1,146,62,84,0.0,72.107,0.7968,1.0,0.0,9.23,0.0,5.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,195.0,86.0,0.012510088781275222,0.029463346194317782,0.70195223
RING0033,C1CNCCN1,471,331,140,0.0,86.138,-0.8208,2.0,2.0,24.06,0.0,6.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,342.0,138.0,0.06678773204196933,0.049105576990529635,0.42371365
RING0034,c1cnccn1,33,15,18,0.0,80.09,0.4765999999999999,2.0,0.0,25.78,0.0,6.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,111.0,80.0,0.003026634382566586,0.006313574184496668,0.67595645
RING0035,c1ccocc1,62,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036319612590799033,0.015433181339880744,0.80949729
RING0036,c1cc[nH]c1,225,165,60,0.0,67.091,1.0147,0.0,1.0,15.79,0.0,5.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,105.0,65.0,0.033292978208232446,0.02104524728165556,0.38730097
RING0037,c1cncnc1,244,162,82,0.0,80.08999999999999,0.4765999999999999,2.0,0.0,25.78,0.0,6.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,110.0,76.0,0.03268765133171913,0.028761837951595932,0.46805658
RING0038,C1ccOC1,55,0,55,0.0,70.09100000000001,0.9204,1.0,0.0,9.23,0.0,5.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130.0,72.0,0.0,0.01929147667485093,1.0
RING0039,C1cccccNCC\C=C/C=C/CCCCCCCC/C=C/OC1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00035075412136092597,1.0
RING0040,C1CCOCO1,13,3,10,0.0,88.106,0.3808,2.0,0.0,18.46,0.0,6.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,247.0,108.0,0.0006053268765133172,0.00350754121360926,0.85282123
RING0041,C1CNCCccc-ccCN1,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.002104524728165556,1.0
RING0042,C1CcccOcccCNCCN1,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00175377060680463,1.0
RING0043,C1CCccccOcccCNCCN1,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00350754121360926,1.0
RING0044,C1CcccOccccCCNCCN1,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00350754121360926,1.0
RING0045,c1nncn1,33,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00443906376109766,0.003858295334970186,0.46500281
RING0046,C1=NCcn-cc1,16,13,3,0.0,94.11699999999998,0.6553,2.0,0.0,24.72,0.0,7.0,0.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,110.0,0.002623083131557708,0.001052262364082778,0.28630298
RING0047,c1cCOCC1,1,0,1,0.0,84.118,0.9629,1.0,0.0,9.23,0.0,6.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,250.0,116.0,0.0,0.00035075412136092597,1.0
RING0048,C1=NC=NC1,2,1,1,0.0,68.079,0.09910000000000002,2.0,0.0,24.72,0.0,5.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79.0,58.0,0.00020177562550443906,0.00035075412136092597,0.63481491
RING0049,c1c[nH]cn1,59,14,45,0.0,68.079,0.40969999999999995,1.0,1.0,28.68,0.0,5.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80.0,58.0,0.002824858757062147,0.01578393546124167,0.84819765
RING0050,C1CCCCC1,1736,1277,459,0.0,84.162,2.3406000000000002,0.0,0.0,0.0,0.0,6.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,447.0,156.0,0.2576674737691687,0.16099614170466503,0.38454773
RING0051,C1C=CCCC1,387,213,174,0.0,82.146,2.1166,0.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,340.0,138.0,0.04297820823244552,0.06103121711680112,0.58678545
RING0052,c1cnnc[nH]1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00035075412136092597,1.0
RING0053,C1CCCC1,1180,998,182,0.0,70.135,1.9505000000000001,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,275.0,100.0,0.20137207425343018,0.06383725008768854,0.24070515
RING0054,c1c[n+]c[nH]1,1,0,1,0.0,68.079,-0.5751000000000002,2.0,1.0,26.130000000000003,1.0,5.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,58.0,0.0,0.00035075412136092597,1.0
RING0055,c1cc[n+]cc1,24,7,17,0.0,79.10199999999998,0.4764999999999999,1.0,0.0,14.100000000000001,1.0,6.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,140.0,89.0,0.0014124293785310734,0.005962820063135742,0.80849063
RING0056,C1NCCN1,29,17,12,0.0,72.11099999999999,-0.8633000000000002,2.0,2.0,24.06,0.0,5.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,197.0,86.0,0.003430185633575464,0.004209049456331112,0.55097787
RING0057,c1ccnc1,78,60,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012106537530266344,0.006313574184496668,0.34275439
RING0058,C1CCNC1,385,220,165,0.0,71.123,0.36979999999999996,1.0,1.0,12.03,0.0,5.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,234.0,93.0,0.04439063761097659,0.05787443002455279,0.5659257
RING0059,C1CCCNC1,147,130,17,0.0,85.14999999999999,0.7599,1.0,1.0,12.03,0.0,6.0,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,392.0,147.0,0.026230831315577078,0.005962820063135742,0.18521727
RING0060,c1cnnc1,93,72,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014527845036319613,0.0073658365485794455,0.33643663
RING0061,c1c[nH]cnn1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0007015082427218519,1.0
RING0062,c1noc[nH]1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00035075412136092597,1.0
