NO.,SMILES,BBB+/BBB-,group,BRIC_IDs,RING_IDs,SIDECHAIN_IDs,Flexibility_RDKit,MW_RDKit,LogP_RDKit,HBA_RDKit,HBD_RDKit,TPSA_RDKit,Charge_RDKit,HeavyAtom_RDKit,AtomStereo_RDKit,AtomCount_C_RDKit,AtomCount_H_RDKit,AtomCount_O_RDKit,AtomCount_N_RDKit,AtomCount_S_RDKit,AtomCount_F_RDKit,AtomCount_Cl_RDKit,AtomCount_Br_RDKit,AtomCount_I_RDKit,AtomCount_P_RDKit,AtomCount_B_RDKit,AtomCount_Li_RDKit,BondCount_Single_RDKit,BondCount_Double_RDKit,BondCount_Triple_RDKit,BondCount_Aromatic_RDKit,Total_Chiral_Centers_RDKit,R_Isomers_RDKit,S_Isomers_RDKit,E_Isomers_RDKit,Z_Isomers_RDKit,Num_4_Rings_Aromatic_RDKit,Num_4_Rings_NonAromatic_RDKit,Num_4_Rings_Total_RDKit,Num_5_Rings_Aromatic_RDKit,Num_5_Rings_NonAromatic_RDKit,Num_5_Rings_Total_RDKit,Num_6_Rings_Aromatic_RDKit,Num_6_Rings_NonAromatic_RDKit,Num_6_Rings_Total_RDKit,Num_8_Rings_Aromatic_RDKit,Num_8_Rings_NonAromatic_RDKit,Num_8_Rings_Total_RDKit,Num_Aromatic_Rings_RDKit,Num_NonAromatic_Rings_RDKit,Num_Total_Rings_RDKit,WienerIndex_RDKit,EccentricConnectivityIndex_RDKit,RadiusOfGyration_RDKit,LogP_PubChem,TPSA_PubChem,HBA_PubChem,HBD_PubChem,Flexibility_PubChem,Charge_PubChem,AtomStereo_PubChem,LogP_Avg,TPSA_Avg,HBA_Avg,HBD_Avg,Flexibility_Avg,Charge_Avg,AtomStereo_Avg
11,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,BBB-,A,BRIC0003; BRIC0005; BRIC0030; BRIC0031; BRIC0032; BRIC0033; BRIC0034,RING0002; RING0019,SC0002; SC0005; SC0007; SC0010; SC0014,10,379.464,2.31832,6,2,88.5,0,28,0,21,25,2,5,0,0,0,0,0,0,0,0,40,3,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,11078,1693,4.716237168,2.6,88.5,5,2,9,0,0,2.45916,88.5,5.5,2,9.5,0,0
12,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,BBB-,A,BRIC0017; BRIC0035; BRIC0036; BRIC0037,RING0009,SC0005; SC0006; SC0007; SC0008; SC0010; SC0014; SC0017,12,286.372,0.8643,6,3,93.81,0,20,3,14,26,4,2,0,0,0,0,0,0,0,0,44,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5801,794,3.285252754,,,,,,0,,0.8643,93.81,6,3,12,0,3
13,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,BBB-,A,BRIC0003; BRIC0031; BRIC0032; BRIC0033; BRIC0034; BRIC0038,RING0002; RING0019,SC0002; SC0006; SC0007; SC0010; SC0013,9,442.361,3.38064,5,2,79.27,0,28,0,21,24,1,5,0,0,0,1,0,0,0,0,39,3,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,10444,1650,5.156787126,3.7,79.3,4,2,8,0,0,3.54032,79.285,4.5,2,8.5,0,0
14,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,BBB-,A,BRIC0003; BRIC0005; BRIC0009; BRIC0010; BRIC0039; BRIC0040; BRIC0041,RING0003; RING0005; RING0020; RING0021,SC0002; SC0005; SC0006; SC0008; SC0009; SC0010; SC0014; SC0018,11,575.632,-1.3975,16,4,219.93,0,36,3,17,17,8,7,4,0,0,0,0,0,0,0,44,7,0,5,0,0,0,0,0,0,2,2,1,0,1,0,1,1,0,0,0,1,3,4,10525,1585,4.222621671,0.1,321,15,4,9,0,2,-0.64875,270.465,15.5,4,10,0,2.5
15,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,BBB-,A,BRIC0003; BRIC0005; BRIC0009; BRIC0010; BRIC0040; BRIC0041; BRIC0042,RING0003; RING0005; RING0020; RING0021,SC0002; SC0005; SC0006; SC0008; SC0009; SC0010; SC0014; SC0018,11,575.632,-1.3975,16,4,219.93,0,36,3,17,17,8,7,4,0,0,0,0,0,0,0,44,7,0,5,2,1,1,0,0,0,2,2,1,0,1,0,1,1,0,0,0,1,3,4,10525,1585,4.648303396,0.1,321,15,4,9,0,2,-0.64875,270.465,15.5,4,10,0,2.5
16,c1ccc(NC2=NCCN2)cc1,BBB-,A,BRIC0027; BRIC0043,RING0001; RING0022,SC0014,1,161.208,1.0577,3,2,36.42,0,12,0,9,11,0,3,0,0,0,0,0,0,0,0,17,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1060,338,2.741552866,1.1,36.4,1,2,2,0,0,1.07885,36.41,2,2,1.5,0,0
17,Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,BBB-,A,BRIC0003; BRIC0031; BRIC0033; BRIC0034; BRIC0038; BRIC0044,RING0002; RING0023,SC0002; SC0006; SC0007; SC0010; SC0013,10,446.393,2.63014,5,3,78.94,0,28,2,21,28,1,5,0,0,0,1,0,0,0,0,45,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,11908,1746,3.952824722,2.7,78.9,5,3,8,0,2,2.66507,78.92,5,3,9,0,2
18,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,BBB-,A,BRIC0045; BRIC0046; BRIC0047,RING0001; RING0024; RING0025; RING0026,SC0002; SC0010; SC0012; SC0019,7,389.799,1.3611,8,2,117.51,0,27,1,17,16,4,5,0,0,1,0,0,0,0,0,29,1,0,16,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,5447,987,4.231150039,0,118,7,2,3,0,1,0.68055,117.755,7.5,2,5,0,1
19,CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,BBB-,A,BRIC0003; BRIC0014; BRIC0017; BRIC0027; BRIC0048; BRIC0049; BRIC0050; BRIC0051; BRIC0052; BRIC0053,RING0001; RING0027,SC0002; SC0006; SC0007; SC0008; SC0010; SC0018; SC0020; SC0021,22,691.92,6.3597,9,3,133.75,0,48,4,36,45,5,5,2,0,0,0,0,0,0,0,71,3,0,22,4,0,4,0,0,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4,41589,3470,5.651238536,,,,,,0,,6.3597,133.75,9,3,22,0,4
20,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,BBB-,A,BRIC0045; BRIC0046; BRIC0054,RING0001; RING0024; RING0025; RING0026,SC0002; SC0010; SC0012; SC0022,8,403.826,1.4036,8,2,117.51,0,28,0,18,18,4,5,0,0,1,0,0,0,0,0,32,1,0,16,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,6444,1064,4.358735603,,,,,,0,,1.4036,117.51,8,2,8,0,0
21,CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,BBB-,A,BRIC0045; BRIC0046; BRIC0055,RING0001; RING0024; RING0025; RING0026,SC0002; SC0010; SC0012; SC0023,6,375.772,1.3186,8,2,117.51,0,26,0,16,14,4,5,0,0,1,0,0,0,0,0,26,1,0,16,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,4492,856,4.080978684,,,,,,0,,1.3186,117.51,8,2,6,0,0
22,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,BBB-,A,BRIC0045; BRIC0046; BRIC0056,RING0001; RING0024; RING0025; RING0026,SC0002; SC0010; SC0012; SC0019,7,389.799,1.3611,8,2,117.51,0,27,1,17,16,4,5,0,0,1,0,0,0,0,0,29,1,0,16,1,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,5447,987,4.36774502,,,,,,0,,1.3611,117.51,8,2,7,0,1
23,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,BBB-,A,BRIC0008; BRIC0017; BRIC0057; BRIC0058; BRIC0059; BRIC0060; BRIC0061,RING0001; RING0028; RING0029,SC0001; SC0002; SC0005; SC0010,9,473.594,6.0752,6,2,70,0,34,0,28,27,4,1,1,0,0,0,0,0,0,0,42,1,0,22,0,0,0,0,0,0,0,0,1,0,1,3,1,4,0,0,0,4,1,5,15151,2006,5.248160109,6.1,98.2,6,2,7,0,0,6.0876,84.1,6,2,8,0,0
24,CCOC(=O)N1CSCC1C(=O)O,BBB-,A,BRIC0001; BRIC0012; BRIC0017; BRIC0051; BRIC0062,RING0030,SC0002; SC0005; SC0007; SC0008,3,205.235,0.6024,5,1,66.84,0,13,1,7,11,4,1,1,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1167,332,2.559478691,0.6,92.1,5,1,3,0,1,0.6012,79.47,5,1,3,0,1
25,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,BBB-,A,BRIC0020; BRIC0058; BRIC0063; BRIC0064,RING0001,SC0001; SC0002; SC0007; SC0010; SC0024; SC0025,9,304.217,3.3779,3,1,40.54,0,19,0,14,19,2,1,0,0,2,0,0,0,0,0,31,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3975,762,3.867640129,1.7,40.5,3,1,9,0,0,2.53895,40.52,3,1,9,0,0
26,O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O,BBB-,A,BRIC0065; BRIC0066,RING0001; RING0031,SC0002,6,302.282,1.3925,6,5,118.22,0,22,2,16,14,6,0,0,0,0,0,0,0,0,0,25,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,3153,676,3.429130082,,,,,,0,,1.3925,118.22,6,5,6,0,2
27,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,BBB-,A,BRIC0017; BRIC0067; BRIC0068; BRIC0069,RING0015; RING0032,SC0002; SC0005,13,342.297,-5.3956,11,8,189.53,0,23,9,12,22,11,0,0,0,0,0,0,0,0,0,46,0,0,0,9,4,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,5416,847,3.115649092,-3.7,190,11,8,5,0,9,-4.5478,189.765,11,8,9,0,9
28,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,BBB-,A,BRIC0027; BRIC0070; BRIC0071,RING0001,SC0007; SC0008; SC0026,4,244.265,3.6808,2,1,37.3,0,18,1,15,13,2,0,0,1,0,0,0,0,0,0,19,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2324,572,3.504981508,4.2,37.3,3,1,3,0,1,3.9404,37.3,2.5,1,3.5,0,1
29,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,BBB-,A,BRIC0014; BRIC0072; BRIC0073; BRIC0074; BRIC0075,RING0001; RING0033,SC0002; SC0004; SC0006; SC0010; SC0015; SC0027,11,471.583,1.036,7,3,128.33,0,33,1,23,29,4,5,1,0,0,0,0,0,0,0,47,5,0,12,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,16531,2211,4.506968049,1.8,137,8,3,9,0,0,1.418,132.665,7.5,3,10,0,0.5
30,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,BBB-,A,BRIC0076,,SC0002; SC0005; SC0017,11,182.172,-3.5854,6,6,121.38,0,12,4,6,14,6,0,0,0,0,0,0,0,0,0,25,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,334,2.427862541,-3.1,121,6,6,5,0,4,-3.3427,121.19,6,6,8,0,4
31,OCC(O)C(O)C(O)C(O)CO,BBB-,A,BRIC0077,,SC0002; SC0005; SC0017,11,182.172,-3.5854,6,6,121.38,0,12,4,6,14,6,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,334,2.403135194,-3.1,121,6,6,5,0,4,-3.3427,121.19,6,6,8,0,4
32,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,BBB-,A,BRIC0003; BRIC0026; BRIC0078; BRIC0079,RING0001; RING0027,SC0002; SC0007; SC0014; SC0015,4,275.337,1.6734,4,3,106.39,0,19,0,12,13,1,5,1,0,0,0,0,0,0,0,20,2,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,2836,657,3.967027182,0.9,135,4,3,3,0,0,1.2867,120.695,4,3,3.5,0,0
33,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,BBB-,A,BRIC0001; BRIC0003; BRIC0014; BRIC0058; BRIC0080; BRIC0081,RING0001; RING0034,SC0001; SC0002; SC0006; SC0028,4,415.293,4.9777,5,2,75.11,0,29,0,18,11,2,3,0,6,0,0,0,0,0,0,24,1,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,4806,912,4.397810428,5.2,75.1,11,2,4,0,0,5.08885,75.105,8,2,4,0,0
34,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O,BBB-,A,BRIC0003; BRIC0014; BRIC0017; BRIC0078; BRIC0082; BRIC0083; BRIC0084,RING0015,SC0002; SC0005; SC0007; SC0014; SC0029,17,543.478,-5.5992,17,8,285.14,0,34,10,14,25,17,1,2,0,0,0,0,0,0,0,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,11380,1375,4.447163279,-6.1,302,17,8,9,0,10,-5.8496,293.57,17,8,13,0,10
35,CN=C(NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,BBB-,A,BRIC0026; BRIC0079; BRIC0085,RING0001; RING0027,SC0006; SC0014; SC0015; SC0030; SC0031,4,314.378,1.18338,5,4,137.5,0,22,0,13,14,0,8,1,0,0,0,0,0,0,0,23,2,1,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,3902,794,3.854320987,1.2,166,5,4,5,0,0,1.19169,151.75,5,4,4.5,0,0
36,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,BBB-,A,BRIC0066; BRIC0079,RING0001; RING0027,SC0002; SC0006; SC0014,4,250.283,1.1262,5,4,117.75,0,17,0,10,10,2,4,1,0,0,0,0,0,0,0,16,1,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,1806,509,3.496997692,1.1,146,5,4,2,0,0,1.1131,131.875,5,4,3,0,0
37,CC(C)CC(=O)c1ccc(OCCCCO)cc1O,BBB-,A,BRIC0017; BRIC0086; BRIC0087; BRIC0088,RING0001,SC0002; SC0005; SC0007; SC0010,12,266.337,2.7723,4,2,66.76,0,19,0,15,22,4,0,0,0,0,0,0,0,0,0,34,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5238,947,3.804400899,,,,,,0,,2.7723,66.76,4,2,12,0,0
38,CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,BBB-,A,BRIC0017; BRIC0086; BRIC0087; BRIC0089; BRIC0090,RING0001,SC0002; SC0005; SC0007; SC0008; SC0010,17,430.497,4.5818,7,3,113.29,0,31,0,24,30,7,0,0,0,0,0,0,0,0,0,48,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,16580,2181,5.259709169,,,,,,0,,4.5818,113.29,7,3,17,0,0
39,CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,BBB-,A,BRIC0017; BRIC0086; BRIC0087; BRIC0089; BRIC0091,RING0001; RING0035,SC0002; SC0005; SC0007; SC0010,13,410.466,4.7912,6,1,82.06,0,30,0,24,26,6,0,0,0,0,0,0,0,0,0,43,3,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,12981,1879,5.490106074,,,,,,0,,4.7912,82.06,6,1,13,0,0
40,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,BBB-,A,BRIC0003; BRIC0012; BRIC0019; BRIC0030; BRIC0040; BRIC0074; BRIC0092,RING0001; RING0002; RING0033; RING0036,SC0001; SC0002; SC0007; SC0010; SC0014; SC0032,8,442.545,2.3286,6,3,110.43,0,31,0,21,26,3,6,1,0,0,0,0,0,0,0,41,3,0,16,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,3,1,4,12249,1735,5.39618111,2,119,7,3,6,0,0,2.1643,114.715,6.5,3,7,0,0
41,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,BBB-,A,BRIC0003; BRIC0014; BRIC0040; BRIC0050; BRIC0058; BRIC0093; BRIC0094,RING0001; RING0034; RING0037,SC0002; SC0006; SC0007; SC0010; SC0014; SC0018; SC0020,12,454.447,0.2684,12,5,210.54,0,33,1,20,22,5,8,0,0,0,0,0,0,0,0,37,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,11822,1783,5.550211532,-1.8,211,12,5,9,0,1,-0.7658,210.77,12,5,10.5,0,1
42,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C/C(C)=C\C=C\[C@@H](C)C(O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C,BBB-,A,BRIC0005; BRIC0017; BRIC0078; BRIC0095,RING0001; RING0033; RING0038; RING0039,SC0002; SC0005; SC0010; SC0015,19,836.98,4.72552,15,6,220.15,0,60,13,44,60,12,4,0,0,0,0,0,0,0,0,106,7,0,11,8,4,4,3,1,0,0,0,0,1,1,2,1,3,0,0,0,2,2,4,70376,4374,5.241063546,,,,,,0,,4.72552,220.15,15,6,19,0,13
43,NCC(CC(=O)O)c1ccc(Cl)cc1,BBB-,A,BRIC0096; BRIC0097,RING0001,SC0006; SC0007; SC0008; SC0012,5,213.664,1.857,3,2,63.32,0,14,1,10,12,2,1,0,0,1,0,0,0,0,0,19,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1333,349,3.123500393,-1,63.3,3,2,4,0,1,0.4285,63.31,3,2,4.5,0,1
44,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,BBB-,A,BRIC0005; BRIC0098; BRIC0099,RING0001; RING0010; RING0015; RING0017; RING0018; RING0040,SC0002; SC0005; SC0010,11,588.562,1.3386,13,3,160.83,0,42,10,29,32,13,0,0,0,0,0,0,0,0,0,67,1,0,12,10,8,2,0,0,0,0,0,0,2,2,2,3,5,0,0,0,2,5,7,20483,2174,4.945879733,0.6,161,13,3,5,0,10,0.9693,160.915,13,3,8,0,10
45,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,BBB-,A,BRIC0003; BRIC0014; BRIC0040; BRIC0050; BRIC0058; BRIC0093; BRIC0100,RING0001; RING0034; RING0037,SC0002; SC0006; SC0007; SC0010; SC0014; SC0018; SC0020,12,454.447,0.2684,12,5,210.54,0,33,1,20,22,5,8,0,0,0,0,0,0,0,0,37,3,0,17,1,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,11822,1783,5.349857314,-1.8,211,12,5,9,0,1,-0.7658,210.77,12,5,10.5,0,1
