Category,Composition/property,Group,N,Mean,SD,95% CI Lower,95% CI Upper,Number of Outliers
RDKit,atom_count_li,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,atom_count_li,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_p,BBB-,31,0.0967741935483871,0.3005371535187643,-0.4922786273483909,0.6858270144451651,3
RDKit,atom_count_p,BBB+,13,0.0769230769230769,0.2773500981126146,-0.4666831153776477,0.6205292692238016,1
RDKit,atom_count_br,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,atom_count_br,BBB+,13,0.0769230769230769,0.2773500981126146,-0.4666831153776477,0.6205292692238016,1
RDKit,num_4_rings_nonaromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_nonaromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,hbond_donors,BBB-,31,0.9032258064516128,0.8308565343337928,-0.7252530008426209,2.5317046137458465,0
RDKit,hbond_donors,BBB+,13,0.3076923076923077,0.4803844614152613,-0.6338612366816045,1.24924585206622,0
RDKit,logp,BBB-,31,0.113078064516129,0.755351087558712,-1.3674100670989464,1.5935661961312046,1
RDKit,logp,BBB+,13,0.5677361538461537,0.6201449794139332,-0.6477480058051553,1.783220313497463,1
RDKit,atom_count_o,BBB-,31,0.5483870967741935,0.888395920650223,-1.1928689077002437,2.2896431012486307,2
RDKit,atom_count_o,BBB+,13,0.0769230769230769,0.2773500981126146,-0.4666831153776477,0.6205292692238016,1
RDKit,e_isomers,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,e_isomers,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_total,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_total,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_aromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_aromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_aromatic_rings,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_aromatic_rings,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,heavy_atoms,BBB-,31,2.5483870967741935,0.850047437006483,0.8822941202414869,4.2144800733069,0
RDKit,heavy_atoms,BBB+,13,2.3076923076923075,1.0315534712764842,0.2858475039903982,4.329537111394217,0
RDKit,bond_count_double,BBB-,31,0.5483870967741935,0.6238968759562409,-0.6744507801000386,1.7712249736484256,2
RDKit,bond_count_double,BBB+,13,0.2307692307692307,0.4385290096535146,-0.6287476281516577,1.0902860896901194,0
RDKit,hbond_acceptors,BBB-,31,0.935483870967742,0.7718153436743679,-0.5772742026340191,2.448241944569503,0
RDKit,hbond_acceptors,BBB+,13,0.3076923076923077,0.4803844614152613,-0.6338612366816045,1.24924585206622,0
RDKit,atom_count_h,BBB-,31,3.645161290322581,2.1377306830183915,-0.5447908483934669,7.835113429038628,2
RDKit,atom_count_h,BBB+,13,2.6153846153846154,2.631174057921088,-2.5417165381407174,7.772485768909949,1
RDKit,atom_count_cl,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,atom_count_cl,BBB+,13,0.4615384615384615,0.9674179220468452,-1.4346006656733548,2.357677588750278,1
RDKit,num_total_rings,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_total_rings,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,bond_count_single,BBB-,31,1.0,0.7302967433402214,-0.4313816169468341,2.431381616946834,1
RDKit,bond_count_single,BBB+,13,1.0769230769230769,1.1151635501529555,-1.108797481376716,3.2626436352228696,0
RDKit,atom_stereo,BBB-,31,0.032258064516129,0.1796053020267749,-0.3197683274563497,0.3842844564886079,1
RDKit,atom_stereo,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,total_chiral_centers,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,total_chiral_centers,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_s,BBB-,31,0.2258064516129032,0.4250237185032414,-0.6072400366534498,1.0588529398792563,0
RDKit,atom_count_s,BBB+,13,0.1538461538461538,0.3755338080994054,-0.5822001100286807,0.8898924177209884,2
RDKit,mw,BBB-,31,48.14983870967741,20.9471046147143,7.093513664837381,89.20616375451743,1
RDKit,mw,BBB+,13,53.24307692307692,29.73031782950848,-5.028346022759699,111.51449986891352,1
RDKit,num_8_rings_aromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_aromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_f,BBB-,31,0.064516129032258,0.3592106040535499,-0.6395366549126997,0.7685689129772157,1
RDKit,atom_count_f,BBB+,13,0.1538461538461538,0.3755338080994053,-0.5822001100286806,0.8898924177209883,2
RDKit,num_4_rings_aromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_aromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_i,BBB-,31,0.032258064516129,0.1796053020267749,-0.3197683274563498,0.384284456488608,1
RDKit,atom_count_i,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,eccentric_connectivity,BBB-,31,27.451612903225808,19.68389986711207,-11.128830836313853,66.03205664276547,1
RDKit,eccentric_connectivity,BBB+,13,17.846153846153847,21.919725339847645,-25.116507819947536,60.80881551225523,1
RDKit,s_isomers,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,s_isomers,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,charge,BBB-,31,0.1290322580645161,0.3407771005482388,-0.538890859010032,0.7969553751390642,4
RDKit,charge,BBB+,13,0.0,0.408248290463863,-0.8001666493091715,0.8001666493091715,2
RDKit,tpsa,BBB-,31,24.265483870967746,21.0802683156089,-17.051842027625703,65.58280976956118,0
RDKit,tpsa,BBB+,13,12.64153846153846,18.120309437274084,-22.874268035518742,48.157344958595665,0
RDKit,atom_count_n,BBB-,31,0.5806451612903226,0.672021505032247,-0.7365169885728814,1.8978073111535267,3
RDKit,atom_count_n,BBB+,13,0.4615384615384615,0.7762500258061847,-1.0599115890416604,1.9829885121185835,2
RDKit,num_6_rings_total,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_6_rings_total,BBB+,13,0.0,0.0,0.0,0.0,0
